stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\chava\Documents\Projects\C++\TestingProjectBackgroud\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.15132] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15143] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15154] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15163] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15172] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15182] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15191] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15200] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15209] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15219] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15230] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15243] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15255] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15266] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15277] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15288] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15299] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15310] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15320] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15332] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15342] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15354] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15365] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15377] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15387] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15398] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15409] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15421] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15431] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15442] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15453] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15463] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15472] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15483] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15493] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15503] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15512] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15522] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15533] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15544] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15552] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15562] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15572] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15581] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15590] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15598] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15608] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15617] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15625] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15634] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.15642] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15651] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.15660] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15671] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.15680] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15691] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.15699] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15709] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.15720] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15732] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.15740] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15749] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.15760] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15771] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.15781] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15791] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.15800] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15811] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.15820] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15830] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.15840] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15851] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.15859] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15869] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.15877] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15887] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.15897] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15907] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.15915] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15924] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.15933] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15943] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.15953] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15964] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.15972] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15982] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.15990] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16000] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16009] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16020] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16030] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16041] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16051] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16061] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.16070] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16080] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.16090] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16099] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.16107] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16119] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.16127] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16137] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.16146] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16157] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16166] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16176] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16185] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16194] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16203] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16212] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16221] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16232] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.16241] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16252] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.16262] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16272] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.16282] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16292] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.16302] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16314] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.16324] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16333] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16341] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16350] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16360] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16369] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16378] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16387] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16395] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16404] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.16412] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16421] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.16431] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16445] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.16456] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16467] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.16479] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16497] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.16509] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16525] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16536] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16547] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16556] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16566] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16574] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16583] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16591] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16601] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.16611] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16620] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.16629] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16639] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.16648] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16659] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.16668] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16680] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.16691] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16701] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16711] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16722] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16736] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16751] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16761] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16771] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16780] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16789] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.16799] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16809] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.16816] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16825] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.16834] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16845] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.16856] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16869] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.16888] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16903] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16914] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16925] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16934] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16948] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16959] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16972] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16987] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16999] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.17010] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17022] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.17034] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17049] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.17059] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17070] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.17080] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17092] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.17102] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17113] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17123] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17133] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17142] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17153] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17163] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17174] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17182] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17195] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17207] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17217] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17228] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17240] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17250] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17262] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17272] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17284] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17293] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17303] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17312] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17323] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17335] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17346] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17356] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17365] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17376] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17389] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17398] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17409] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17418] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17429] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17439] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17450] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17459] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17468] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17477] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17486] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17497] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17508] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17517] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17529] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17539] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17552] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17563] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17574] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17583] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17593] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17601] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17613] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17624] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17634] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17643] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17654] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17663] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17672] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17691] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17703] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17715] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17725] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17735] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17746] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17755] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17765] Single Buffer requirement not met.
